-- Logs begin at Tue 2014-11-18 04:29:31 UTC, end at Tue 2014-11-18 05:28:31 UTC. --
Nov 18 05:03:07 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:12 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:17 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:22 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:27 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:33 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:38 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:43 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:48 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:53 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:58 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:03 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:08 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:13 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:18 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:23 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:28 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:33 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:38 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:43 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:48 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:53 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:04:58 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:05:03 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:05:08 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:05:13 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:05:18 deis-2 systemd[1]: Stopping deis-store-metadata...
Nov 18 05:05:18 deis-2 sh[1988]: 2014/11/18 05:05:18 Post http:///var/run/docker.sock/v1.15/containers/beb4755f0afecf5a0cb5169d1e17cf61a627041ca32efb7889cb42523635753c/wait: read unix /var/run/docker.sock: connection reset by peer
Nov 18 05:05:18 deis-2 systemd[1]: Stopped deis-store-metadata.
Nov 18 05:05:18 deis-2 docker[3357]: Post http:///var/run/docker.sock/v1.15/containers/deis-store-metadata/stop?t=10: net/http: transport closed before response was received
Nov 18 05:05:18 deis-2 docker[3357]: 2014/11/18 05:05:18 Error: failed to stop one or more containers
-- Reboot --
Nov 18 05:05:54 deis-2 systemd[1]: Starting deis-store-metadata...
Nov 18 05:05:57 deis-2 sh[958]: deis-store-metadata
Nov 18 05:05:57 deis-2 systemd[1]: Started deis-store-metadata.
Nov 18 05:05:59 deis-2 sh[1010]: store-metadata: The Ceph filesystem hasn't been created. Trying to obtain the lock to set up...
Nov 18 05:05:59 deis-2 sh[1010]: store-metadata: obtained the lock to proceed with setting up.
Nov 18 05:06:01 deis-2 sh[1010]: 2014-11-18 05:06:01.354173 7fbf8040e700  0 -- :/1000034 >> 172.17.8.102:6789/0 pipe(0x7fbf780296a0 sd=4 :0 s=1 pgs=0 cs=0 l=1 c=0x7fbf78029930).fault
Nov 18 05:06:03 deis-2 sh[1010]: 2014-11-18 05:06:03.077366 7fbf8030d700  0 -- :/1000034 >> 172.17.8.101:6789/0 pipe(0x7fbf68000c00 sd=4 :0 s=1 pgs=0 cs=0 l=1 c=0x7fbf68000e90).fault
Nov 18 05:06:06 deis-2 sh[1010]: 2014-11-18 05:06:06.078654 7fbf8040e700  0 -- :/1000034 >> 172.17.8.102:6789/0 pipe(0x7fbf680030e0 sd=4 :0 s=1 pgs=0 cs=0 l=1 c=0x7fbf68003370).fault
Nov 18 05:06:11 deis-2 sh[1010]: 2014-11-18 05:06:11.078252 7ff5ee7fc700  0 -- :/1000071 >> 172.17.8.102:6789/0 pipe(0x7ff5f00296a0 sd=4 :0 s=1 pgs=0 cs=0 l=1 c=0x7ff5f0029930).fault
Nov 18 05:06:11 deis-2 sh[1010]: 2014-11-18 05:06:11.078252 7ff5ee7fc700  0 -- :/1000071 >> 172.17.8.102:6789/0 pipe(0x7ff5f00296a0 sd=4 :0 s=1 pgs=0 cs=0 l=1 c=0x7ff5f0029930).fault
Nov 18 05:06:12 deis-2 sh[1010]: pool 'data' created
Nov 18 05:06:13 deis-2 sh[1010]: pool 'metadata' created
Nov 18 05:06:14 deis-2 sh[1010]: No filesystems enabled
Nov 18 05:06:14 deis-2 sh[1010]: new fs with metadata pool 2 and data pool 1
Nov 18 05:06:14 deis-2 sh[1010]: store-metadata: filesystem setup complete.
Nov 18 05:06:15 deis-2 sh[1010]: store-metadata: running...
Nov 18 05:06:15 deis-2 sh[1010]: starting mds.deis-2 at :/0
Nov 18 05:06:15 deis-2 sh[1010]: 2014-11-18 05:06:15.198172 7ff964032800  0 ceph version 0.87 (c51c8f9d80fa4e0168aa52685b8de40e42758578), process ceph-mds, pid 1
Nov 18 05:06:15 deis-2 sh[1010]: 2014-11-18 05:06:15.686605 7ff95e41e700  1 mds.0.1 handle_mds_map i am now mds.0.1
Nov 18 05:06:15 deis-2 sh[1010]: 2014-11-18 05:06:15.686607 7ff95e41e700  1 mds.0.1 handle_mds_map state change down:dne --> up:creating
